,type,buy,sell,date
1,SJC,76.98,74.98,2024-06-18
3,SJC,76.98,74.98,2024-06-17
5,SJC,76.98,74.98,2024-06-15
7,SJC,76.98,74.98,2024-06-14
9,SJC,76.98,74.98,2024-06-13
12,SJC,76.98,74.98,2024-06-12
13,SJC,76.98,74.98,2024-06-12
16,SJC,76.98,74.98,2024-06-11
17,SJC,76.98,74.98,2024-06-11
19,SJC,76.98,74.98,2024-06-10
21,SJC,76.98,74.98,2024-06-08
23,SJC,76.98,74.98,2024-06-07
28,SJC,77.98,76.48,2024-06-06
29,SJC,77.98,76.58,2024-06-06
30,SJC,77.98,75.98,2024-06-06
31,SJC,76.98,74.98,2024-06-06
38,SJC,78.98,77.48,2024-06-05
39,SJC,78.98,76.98,2024-06-05
40,SJC,78.98,76.98,2024-06-05
41,SJC,77.98,76.48,2024-06-05
42,SJC,77.98,76.78,2024-06-05
43,SJC,77.98,76.48,2024-06-05
46,SJC,79.98,77.98,2024-06-04
47,SJC,78.98,77.48,2024-06-04
59,SJC,82.75,80.95,2024-06-03
60,SJC,82.05,79.95,2024-06-03
61,SJC,81.7,79.95,2024-06-03
62,SJC,80.5,78.95,2024-06-03
63,SJC,80.7,78.95,2024-06-03
64,SJC,80.85,78.95,2024-06-03
65,SJC,80.85,78.95,2024-06-03
66,SJC,80.8,78.95,2024-06-03
67,SJC,79.85,77.95,2024-06-03
68,SJC,79.75,77.5,2024-06-03
69,SJC,79.98,77.98,2024-06-03
74,SJC,85.95,83.05,2024-06-01
75,SJC,84.5,81.95,2024-06-01
76,SJC,83.5,80.95,2024-06-01
77,SJC,83.0,80.95,2024-06-01
84,SJC,88.4,86.0,2024-05-31
85,SJC,88.0,85.5,2024-05-31
86,SJC,87.55,84.55,2024-05-31
87,SJC,87.4,84.55,2024-05-31
88,SJC,87.2,83.95,2024-05-31
89,SJC,85.95,83.05,2024-05-31
94,SJC,90.0,88.2,2024-05-30
95,SJC,87.9,84.5,2024-05-30
96,SJC,88.6,86.0,2024-05-30
97,SJC,88.4,86.0,2024-05-30
101,SJC,90.4,88.6,2024-05-29
102,SJC,90.5,88.9,2024-05-29
