Unnamed: 0,buy,sell,date
1,34.3,34.1,2014-06-23
18,34.35,34.15,2014-06-24
38,34.45,34.25,2014-06-25
52,34.43,34.23,2014-06-26
66,34.45,34.25,2014-06-27
83,34.45,34.25,2014-06-28
84,34.85,34.65,2014-07-01
104,34.75,34.55,2014-07-02
112,34.72,34.52,2014-07-03
126,34.63,34.43,2014-07-04
137,34.6,34.4,2014-07-05
138,34.58,34.38,2014-07-07
158,34.65,34.45,2014-07-08
170,34.66,34.46,2014-07-09
184,34.88,34.68,2014-07-10
198,34.9,34.7,2014-07-11
207,34.9,34.7,2014-07-12
208,34.89,34.69,2014-07-14
228,34.7,34.5,2014-07-15
246,34.43,34.23,2014-07-16
260,34.48,34.28,2014-07-17
272,34.53,34.33,2014-07-18
285,34.52,34.32,2014-07-19
286,34.5,34.3,2014-07-21
303,34.62,34.42,2014-07-22
308,34.6,34.4,2014-07-23
318,34.52,34.32,2014-07-24
334,34.36,34.16,2014-07-25
336,34.45,34.25,2014-07-26
338,34.45,34.25,2014-07-28
352,34.4,34.2,2014-07-29
370,34.35,34.15,2014-07-30
378,34.32,34.12,2014-07-31
390,34.29,33.99,2014-08-01
393,34.3,34.05,2014-08-02
394,34.3,34.05,2014-08-04
405,34.2,34.0,2014-08-05
410,34.17,33.97,2014-08-06
418,34.39,34.19,2014-08-07
428,34.51,34.31,2014-08-08
447,34.5,34.3,2014-08-09
448,34.4,34.2,2014-08-11
456,34.4,34.2,2014-08-12
468,34.4,34.2,2014-08-13
470,34.45,34.25,2014-08-14
479,34.45,34.25,2014-08-15
483,34.4,34.2,2014-08-16
484,34.28,34.08,2014-08-18
495,34.31,34.11,2014-08-19
498,34.29,34.09,2014-08-20
502,34.25,34.05,2014-08-21
516,34.02,33.82,2014-08-22
534,34.04,33.84,2014-08-23
536,34.02,33.82,2014-08-25
552,33.97,33.77,2014-08-26
574,33.95,33.75,2014-08-27
588,33.97,33.77,2014-08-28
604,34.02,33.82,2014-08-29
611,34.02,33.82,2014-08-30
616,33.83,33.63,2014-09-03
620,33.82,33.62,2014-09-04
630,33.64,33.44,2014-09-05
651,33.63,33.43,2014-09-06
652,33.63,33.43,2014-09-08
664,33.52,33.32,2014-09-09
682,33.47,33.27,2014-09-10
700,33.24,33.04,2014-09-11
716,33.15,32.95,2014-09-12
728,33.03,32.83,2014-09-13
732,32.99,32.79,2014-09-15
750,33.1,32.9,2014-09-16
774,33.05,32.85,2014-09-17
790,32.8,32.6,2014-09-18
808,32.75,32.55,2014-09-19
827,32.75,32.55,2014-09-20
828,32.7,32.5,2014-09-22
850,32.65,32.45,2014-09-23
866,32.65,32.45,2014-09-24
878,32.58,32.38,2014-09-25
900,32.62,32.42,2014-09-26
909,32.58,32.38,2014-09-27
910,32.55,32.35,2014-09-29
924,32.44,32.24,2014-09-30
944,32.25,32.05,2014-10-01
972,32.4,32.2,2014-10-02
992,32.32,32.12,2014-10-03
1006,32.18,31.98,2014-10-04
1011,32.18,31.98,2014-10-05
1012,32.14,31.94,2014-10-06
1040,32.25,32.05,2014-10-07
1058,32.32,32.12,2014-10-08
1070,32.6,32.4,2014-10-09
1091,32.6,32.4,2014-10-10
1109,32.58,32.38,2014-10-11
1113,32.5,32.3,2014-10-13
1137,32.65,32.45,2014-10-14
1155,32.6,32.4,2014-10-15
1171,32.8,32.6,2014-10-16
1189,32.75,32.55,2014-10-17
1203,32.82,32.62,2014-10-18
1207,32.8,32.6,2014-10-20
1225,33.02,32.82,2014-10-21
1251,33.0,32.8,2014-10-22
1267,32.9,32.7,2014-10-23
1277,32.82,32.62,2014-10-24
1294,32.75,32.55,2014-10-25
1295,32.75,32.55,2014-10-27
1307,32.7,32.5,2014-10-28
1319,32.71,32.51,2014-10-29
1327,32.54,32.34,2014-10-30
1339,32.25,32.05,2014-10-31
1365,31.7,31.5,2014-11-01
1370,31.7,31.5,2014-11-02
1371,31.6,31.4,2014-11-03
1391,31.62,31.42,2014-11-04
1401,31.42,31.22,2014-11-05
1429,31.07,30.87,2014-11-06
1453,31.08,30.88,2014-11-07
1486,31.4,31.2,2014-11-08
1489,31.5,31.3,2014-11-10
1501,31.42,31.22,2014-11-11
1517,31.28,31.08,2014-11-12
1527,31.3,31.1,2014-11-13
1563,31.28,31.08,2014-11-14
1591,31.7,31.3,2014-11-15
1597,31.72,31.52,2014-11-17
1611,31.69,31.49,2014-11-18
1629,32.0,31.8,2014-11-19
1647,31.85,31.65,2014-11-20
1665,31.94,31.74,2014-11-21
1690,32.18,31.98,2014-11-22
1691,32.14,31.94,2014-11-24
1707,32.12,31.92,2014-11-25
1723,32.1,31.9,2014-11-26
1733,32.14,31.94,2014-11-27
1759,31.92,31.72,2014-11-28
1777,31.62,31.42,2014-11-29
1783,31.8,31.6,2014-12-01
1807,32.18,31.98,2014-12-02
1839,32.06,31.86,2014-12-03
1859,32.15,31.95,2014-12-04
1871,32.13,31.93,2014-12-05
1883,32.02,31.82,2014-12-06
1891,32.04,31.84,2014-12-08
1903,32.14,31.94,2014-12-09
1919,32.6,32.4,2014-12-10
1935,32.56,32.36,2014-12-11
1951,32.5,32.3,2014-12-12
1968,32.56,32.36,2014-12-13
1969,32.54,32.34,2014-12-15
1991,32.38,32.18,2014-12-16
2007,32.38,32.18,2014-12-17
2021,32.35,32.15,2014-12-18
2041,32.35,32.15,2014-12-19
2056,32.35,32.15,2014-12-20
2057,32.33,32.13,2014-12-22
2069,32.1,31.9,2014-12-23
2081,32.03,31.83,2014-12-24
2083,31.98,31.78,2014-12-25
2087,32.01,31.81,2014-12-26
2102,32.25,32.05,2014-12-27
2103,32.25,32.05,2014-12-29
2107,32.08,31.88,2014-12-30
2121,32.34,32.14,2014-12-31
2128,32.18,31.98,2015-01-01
2129,32.17,31.92,2015-01-02
2138,32.17,31.92,2015-01-03
2139,32.28,32.03,2015-01-05
2155,32.45,32.2,2015-01-06
