Unnamed: 0,buy,sell,date
0,36.82,36.65,2014-06-23
28,36.83,36.73,2014-06-24
44,36.84,36.76,2014-06-25
58,36.8,36.65,2014-06-26
74,36.8,36.71,2014-06-27
82,36.84,36.72,2014-06-28
94,36.91,36.84,2014-07-01
107,36.92,36.86,2014-07-02
119,36.88,36.82,2014-07-03
131,36.82,36.74,2014-07-04
136,36.82,36.72,2014-07-05
147,36.76,36.7,2014-07-07
164,36.81,36.75,2014-07-08
177,36.84,36.77,2014-07-09
191,36.91,36.84,2014-07-10
202,36.95,36.89,2014-07-11
206,36.97,36.88,2014-07-12
217,36.89,36.81,2014-07-14
237,36.76,36.68,2014-07-15
252,36.72,36.64,2014-07-16
265,36.84,36.77,2014-07-17
278,36.85,36.78,2014-07-18
284,36.85,36.75,2014-07-19
291,36.84,36.77,2014-07-21
298,36.75,36.67,2014-07-22
312,36.76,36.7,2014-07-23
325,36.7,36.63,2014-07-24
332,36.72,36.61,2014-07-25
337,36.8,36.68,2014-07-26
344,36.75,36.63,2014-07-28
360,36.7,36.64,2014-07-29
373,36.68,36.62,2014-07-30
383,36.67,36.61,2014-07-31
388,36.63,36.5,2014-08-01
392,36.7,36.55,2014-08-02
397,36.63,36.56,2014-08-04
400,36.65,36.55,2014-08-05
413,36.64,36.52,2014-08-06
423,36.72,36.64,2014-08-07
436,36.79,36.65,2014-08-08
446,36.73,36.63,2014-08-09
452,36.69,36.62,2014-08-11
461,36.7,36.64,2014-08-12
466,36.69,36.62,2014-08-13
473,36.71,36.65,2014-08-14
476,36.72,36.6,2014-08-15
482,36.65,36.55,2014-08-16
487,36.61,36.55,2014-08-18
492,36.64,36.54,2014-08-19
499,36.57,36.51,2014-08-20
509,36.54,36.48,2014-08-21
523,36.51,36.44,2014-08-22
532,36.52,36.44,2014-08-23
543,36.5,36.43,2014-08-25
563,36.42,36.35,2014-08-26
581,36.45,36.4,2014-08-27
596,36.5,36.44,2014-08-28
605,36.52,36.42,2014-08-29
610,36.5,36.42,2014-08-30
612,36.38,36.26,2014-09-03
625,36.36,36.29,2014-09-04
639,36.34,36.29,2014-09-05
650,36.35,36.25,2014-09-06
658,36.35,36.29,2014-09-08
673,36.25,36.13,2014-09-09
690,36.11,36.04,2014-09-10
708,36.03,35.97,2014-09-11
722,35.99,35.92,2014-09-12
730,35.95,35.85,2014-09-13
740,35.99,35.93,2014-09-15
762,36.05,35.98,2014-09-16
782,36.11,36.05,2014-09-17
