,Purchase Price,Sell Price,Date
0,66.400,67.200,2023-01-03
1,66.300,67.200,2023-01-04
2,66.300,67.200,2023-01-05
3,66.000,66.900,2023-01-06
4,66.300,67.200,2023-01-07
5,66.300,67.200,2023-01-09
6,66.200,67.000,2023-01-10
7,66.000,66.900,2023-01-11
8,66.000,66.900,2023-01-12
9,66.000,67.000,2023-01-13
10,66.300,67.200,2023-01-14
11,66.500,67.400,2023-01-16
12,66.200,67.100,2023-01-17
13,66.400,67.400,2023-01-18
14,66.900,67.800,2023-01-19
15,67.300,68.300,2023-01-27
16,67.500,68.500,2023-01-28
17,67.000,68.000,2023-01-30
18,66.300,67.300,2023-01-31
19,66.300,67.300,2023-02-01
20,66.400,67.400,2023-02-02
21,66.500,67.400,2023-02-03
22,66.400,67.200,2023-02-04
23,66.500,67.400,2023-02-06
24,66.300,67.100,2023-02-07
25,66.500,67.300,2023-02-08
26,66.600,67.400,2023-02-09
27,66.600,67.400,2023-02-10
28,66.500,67.300,2023-02-11
29,66.500,67.300,2023-02-13
30,66.400,67.200,2023-02-14
31,66.500,67.300,2023-02-15
32,66.400,67.200,2023-02-16
33,66.300,67.100,2023-02-17
34,66.300,67.150,2023-02-18
35,66.300,67.150,2023-02-20
36,66.300,67.150,2023-02-21
37,66.300,67.100,2023-02-22
38,66.200,67.000,2023-02-23
39,66.300,67.000,2023-02-24
40,66.150,66.900,2023-02-25
41,66.150,66.900,2023-02-27
42,66.050,66.700,2023-02-28
43,66.150,66.850,2023-03-01
44,66.200,66.850,2023-03-02
45,66.150,66.850,2023-03-03
46,66.250,66.950,2023-03-04
47,66.200,66.900,2023-03-06
48,66.150,66.800,2023-03-07
49,66.000,66.700,2023-03-08
50,65.800,66.500,2023-03-09
51,65.950,66.600,2023-03-10
52,66.150,67.100,2023-03-11
53,66.000,66.800,2023-03-13
54,66.350,67.150,2023-03-14
55,66.150,66.900,2023-03-15
56,66.100,67.000,2023-03-16
57,66.150,67.000,2023-03-17
58,66.500,67.500,2023-03-18
59,66.500,67.500,2023-03-20
60,66.600,67.500,2023-03-21
61,66.200,67.100,2023-03-22
62,66.500,67.150,2023-03-23
63,66.700,67.400,2023-03-24
64,66.550,67.250,2023-03-25
65,66.600,67.300,2023-03-27
66,66.650,67.250,2023-03-28
67,66.500,67.200,2023-03-29
68,66.500,67.000,2023-03-30
69,66.500,67.200,2023-03-31
70,66.450,67.050,2023-04-01
71,66.200,66.950,2023-04-03
72,66.500,67.200,2023-04-04
73,66.700,67.500,2023-04-05
74,66.650,67.250,2023-04-06
75,66.500,67.100,2023-04-07
76,66.450,67.050,2023-04-08
77,66.450,67.050,2023-04-10
78,66.350,66.950,2023-04-11
79,66.450,67.000,2023-04-12
80,66.450,67.000,2023-04-13
81,66.700,67.300,2023-04-14
82,66.450,67.000,2023-04-15
83,66.450,67.000,2023-04-17
84,66.450,67.000,2023-04-18
85,66.550,67.100,2023-04-19
86,66.400,66.950,2023-04-20
87,66.450,67.000,2023-04-21
88,66.450,67.000,2023-04-22
89,66.450,67.000,2023-04-24
90,66.500,67.050,2023-04-25
91,66.500,67.050,2023-04-26
92,66.550,67.150,2023-04-27
93,66.600,67.200,2023-04-28
94,66.600,67.200,2023-05-03
95,66.800,67.400,2023-05-04
96,66.650,67.250,2023-05-05
97,66.550,67.150,2023-05-06
98,66.550,67.150,2023-05-08
99,66.550,67.100,2023-05-09
100,66.700,67.250,2023-05-10
101,66.600,67.150,2023-05-11
102,66.600,67.200,2023-05-12
103,66.600,67.200,2023-05-13
104,66.600,67.200,2023-05-15
105,66.600,67.200,2023-05-16
106,66.550,67.150,2023-05-17
107,66.600,67.200,2023-05-18
108,66.500,67.100,2023-05-19
109,66.700,67.250,2023-05-20
110,66.700,67.250,2023-05-22
111,66.700,67.200,2023-05-23
112,66.600,67.150,2023-05-24
113,66.450,67.000,2023-05-25
114,66.400,67.000,2023-05-26
115,66.460,67.000,2023-05-27
116,66.400,67.000,2023-05-29
117,66.400,67.000,2023-05-30
118,66.550,67.150,2023-05-31
119,66.500,67.050,2023-06-01
120,66.500,67.050,2023-06-02
121,66.400,67.000,2023-06-03
122,66.400,67.000,2023-06-05
123,66.600,67.100,2023-06-06
124,66.600,67.100,2023-06-07
125,66.400,66.950,2023-06-08
126,66.450,67.000,2023-06-09
127,66.500,67.100,2023-06-10
128,66.500,67.050,2023-06-12
129,66.450,67.000,2023-06-13
130,66.400,67.000,2023-06-14
131,66.450,66.950,2023-06-15
132,66.600,67.150,2023-06-16
