,type,buy,sell,date
0,SJC,36.82,36.65,2014-06-23
1,PNJ,34.3,34.1,2014-06-23
7,PNJ,34.35,34.15,2014-06-23
9,SJC,36.81,36.69,2014-06-23
10,SJC,36.84,36.72,2014-06-23
11,SJC,36.82,36.7,2014-06-23
12,SJC,36.81,36.67,2014-06-23
13,SJC,36.78,36.66,2014-06-23
14,SJC,36.78,36.69,2014-06-23
15,SJC,36.8,36.69,2014-06-23
16,SJC,36.82,36.72,2014-06-23
18,PNJ,34.35,34.15,2014-06-24
24,PNJ,34.42,34.22,2014-06-24
28,SJC,36.83,36.73,2014-06-24
29,SJC,36.81,36.71,2014-06-24
30,SJC,36.82,36.73,2014-06-24
31,SJC,36.83,36.75,2014-06-24
32,SJC,36.85,36.75,2014-06-24
33,SJC,36.92,36.77,2014-06-24
34,SJC,36.86,36.77,2014-06-24
35,SJC,36.87,36.78,2014-06-24
36,SJC,36.9,36.8,2014-06-24
38,PNJ,34.45,34.25,2014-06-25
44,SJC,36.84,36.76,2014-06-25
45,SJC,36.85,36.75,2014-06-25
46,SJC,36.8,36.74,2014-06-25
47,SJC,36.81,36.75,2014-06-25
48,SJC,36.83,36.76,2014-06-25
50,SJC,36.85,36.71,2014-06-25
52,PNJ,34.43,34.23,2014-06-26
58,SJC,36.8,36.65,2014-06-26
59,SJC,36.83,36.75,2014-06-26
60,SJC,36.81,36.75,2014-06-26
61,SJC,36.81,36.74,2014-06-26
62,SJC,36.77,36.7,2014-06-26
63,SJC,36.75,36.67,2014-06-26
64,SJC,36.77,36.69,2014-06-26
66,PNJ,34.45,34.25,2014-06-27
74,SJC,36.8,36.71,2014-06-27
76,SJC,36.81,36.74,2014-06-27
77,SJC,36.83,36.76,2014-06-27
78,SJC,36.81,36.75,2014-06-27
79,SJC,36.83,36.75,2014-06-27
80,SJC,36.85,36.72,2014-06-27
81,SJC,36.78,36.7,2014-06-27
82,SJC,36.84,36.72,2014-06-28
83,PNJ,34.45,34.25,2014-06-28
84,PNJ,34.85,34.65,2014-07-01
94,SJC,36.91,36.84,2014-07-01
95,SJC,36.89,36.82,2014-07-01
97,SJC,36.93,36.85,2014-07-01
98,SJC,36.94,36.86,2014-07-01
99,SJC,36.91,36.83,2014-07-01
100,SJC,36.95,36.81,2014-07-01
101,SJC,36.93,36.83,2014-07-01
102,SJC,36.9,36.8,2014-07-01
103,SJC,36.92,36.84,2014-07-01
104,PNJ,34.75,34.55,2014-07-02
107,SJC,36.92,36.86,2014-07-02
108,SJC,36.93,36.87,2014-07-02
109,SJC,36.91,36.84,2014-07-02
110,SJC,36.95,36.8,2014-07-02
112,PNJ,34.72,34.52,2014-07-03
119,SJC,36.88,36.82,2014-07-03
120,SJC,36.91,36.79,2014-07-03
121,SJC,36.87,36.81,2014-07-03
122,SJC,36.87,36.8,2014-07-03
123,SJC,36.85,36.79,2014-07-03
124,SJC,36.86,36.8,2014-07-03
125,SJC,36.9,36.83,2014-07-03
126,PNJ,34.63,34.43,2014-07-04
131,SJC,36.82,36.74,2014-07-04
132,SJC,36.82,36.75,2014-07-04
133,SJC,36.83,36.76,2014-07-04
134,SJC,36.84,36.7,2014-07-04
135,SJC,36.84,36.74,2014-07-04
136,SJC,36.82,36.72,2014-07-05
137,PNJ,34.6,34.4,2014-07-05
138,PNJ,34.58,34.38,2014-07-07
147,SJC,36.76,36.7,2014-07-07
148,SJC,36.8,36.7,2014-07-07
149,SJC,36.75,36.7,2014-07-07
150,SJC,36.74,36.68,2014-07-07
152,SJC,36.78,36.71,2014-07-07
